EmpID,LastPerformanceReview_Date,PerformanceScore
10026,2019-01-17,Exceeds
10084,2016-02-24,Fully Meets
10196,2012-05-15,Fully Meets
10088,2019-01-03,Fully Meets
10069,2016-02-01,Fully Meets
10002,2019-01-07,Exceeds
10194,2019-01-02,Fully Meets
10062,2019-02-25,Fully Meets
10114,2019-01-25,Fully Meets
10250,2019-02-18,Fully Meets
10252,2016-01-30,Fully Meets
10242,2016-05-06,Fully Meets
10012,2019-02-25,Exceeds
10265,2019-02-14,Fully Meets
10066,2017-03-02,Fully Meets
10061,2017-04-05,Fully Meets
10023,2019-01-14,Exceeds
10055,2019-01-14,Fully Meets
10245,2015-01-15,Fully Meets
10277,2019-01-11,Fully Meets
10046,2019-01-14,Fully Meets
10226,2019-01-10,Fully Meets
10003,2019-02-27,Exceeds
10294,2019-02-27,Needs Improvement
10267,2014-03-04,Fully Meets
10199,2016-01-10,Fully Meets
10081,2019-02-18,Fully Meets
10175,2014-02-20,Fully Meets
10177,2013-03-04,Fully Meets
10238,2019-01-15,Fully Meets
10184,2019-02-01,Fully Meets
10203,2019-01-21,Fully Meets
10188,2013-02-10,Fully Meets
10107,2019-02-21,Fully Meets
10181,2019-01-14,Fully Meets
10150,2019-01-21,Fully Meets
10001,2019-02-22,Exceeds
10085,2019-01-30,Fully Meets
10115,2019-02-01,Fully Meets
10082,2019-02-18,Fully Meets
10040,2019-01-21,Fully Meets
10067,2019-02-12,Fully Meets
10108,2019-01-15,Fully Meets
10210,2019-02-19,Fully Meets
10154,2019-01-14,Fully Meets
10200,2019-01-19,Fully Meets
10240,2015-03-10,Fully Meets
10168,2019-01-30,Fully Meets
10220,2019-02-27,Fully Meets
10275,2012-05-03,Fully Meets
10269,2011-05-04,Fully Meets
10029,2019-02-28,Exceeds
10261,2019-01-14,Fully Meets
10292,2016-05-01,Needs Improvement
10282,2019-01-14,Needs Improvement
10019,2019-02-04,Exceeds
10094,2019-02-14,Fully Meets
10193,2019-01-22,Fully Meets
10132,2019-01-28,Fully Meets
10083,2019-01-02,Fully Meets
10099,2019-01-24,Fully Meets
10212,2019-02-12,Fully Meets
10056,2019-02-25,Fully Meets
10143,2019-02-27,Fully Meets
10311,2019-01-31,Fully Meets
10070,2016-04-02,Fully Meets
10155,2019-01-25,Fully Meets
10306,2019-01-30,PIP
10100,2015-05-06,Fully Meets
10310,2019-01-31,PIP
10197,2019-01-23,Fully Meets
10276,2019-02-19,Fully Meets
10304,2019-01-29,PIP
